Aggregate,Total Volume Allocated (GB),Total Volume Used (GB),Total Volume Available (GB),Aggregate Size (GB),Aggregate Used Size (GB),Aggregate Available Size (GB),% Logically Allocated,% Logically Used,Aggregate % Used
emclus0013c03_aggr1_val,526424.22,256331.02,270093.19,220876.80,150937.60,69888.00,238.33%,116.05%,68.00%
emclus0013c03_aggr2_val,378636.71,175710.90,202925.82,145612.80,88074.24,57579.52,260.03%,120.67%,60.00%
emclus0013c03_aggr0_root,348.60,264.58,84.02,368.40,350.60,17.85,94.63%,71.82%,95.00%
emclus0013c04_aggr2_val,467473.46,218931.97,248541.49,288358.40,145203.20,143155.20,162.12%,75.92%,50.00%
emclus0013c04_aggr1_val,400895.12,199843.31,201051.80,220876.80,120012.80,100884.48,181.50%,90.48%,54.00%
emclus0013c04_aggr0_root,348.60,215.70,132.90,368.40,350.60,17.85,94.63%,58.55%,95.00%
emclus0013n05_aggr1_cap,167295.12,55746.32,111548.80,380620.80,57927.68,322662.40,43.95%,14.65%,15.00%
emclus0013n05_aggr2_cap,125555.55,33127.04,92428.51,147046.40,34109.44,112947.20,85.38%,22.53%,23.00%
emclus0013n05_aggr0_root,7362.56,512.00,6850.56,7782.40,7403.52,377.30,94.61%,6.58%,95.00%
emclus0013n06_aggr1_cap,172217.40,15918.76,156298.64,380620.80,17899.52,362700.80,45.25%,4.18%,5.00%
emclus0013n06_aggr2_cap,115449.60,11023.12,104426.48,147046.40,12113.92,134963.20,78.51%,7.50%,8.00%
emclus0013n06_aggr0_root,7362.56,491.52,6871.04,7782.40,7403.52,377.40,94.61%,6.32%,95.00%
emclus0013n07_aggr1_cap,284806.25,68997.18,215809.07,259481.60,71188.48,188313.60,109.76%,26.59%,27.00%
emclus0013n07_aggr0_root,7362.56,501.76,6860.80,7782.40,7403.52,377.40,94.61%,6.45%,95.00%
Total Aggregates,14,,,,,,,,
