Aggregate,Total Vol Allocated (GB),Total Vol Used (GB),Total Vol Avail (GB),Aggr Size (GB),Aggr Used (GB),Aggr Avail (GB),% Logically Alloc,% Logically Used,Aggr % Used,Total Efficiency,Data Reduction (w/o Snaps)
emclus0013c01_aggr1_val,556698.31,298237.88,258460.42,292249.60,158924.80,133222.40,190.49%,102.05%,54.00%,14.95:1,1.90:1
emclus0013c01_aggr2_val,230679.20,142033.14,88646.06,74301.44,54845.44,19456.00,310.46%,191.16%,74.00%,14.26:1,2.26:1
emclus0013c01_aggr0_root,348.60,195.90,152.70,368.40,350.60,17.85,94.63%,53.18%,95.00%,1.00:1,1.00:1
emclus0013c02_aggr1_val,536036.08,303916.31,232119.77,292249.60,162406.40,129843.20,183.42%,103.99%,56.00%,13.10:1,1.87:1
emclus0013c02_aggr2_val,208168.81,127706.80,80462.01,74301.44,41717.76,32583.68,280.17%,171.88%,56.00%,5.47:1,1.99:1
emclus0013c02_aggr0_root,348.60,174.20,174.40,368.40,350.60,17.85,94.63%,47.29%,95.00%,1.00:1,1.00:1
emclus0013c03_aggr1_val,526424.22,256675.21,269749.01,220876.80,151244.80,69570.56,238.33%,116.21%,69.00%,6.67:1,2.01:1
emclus0013c03_aggr2_val,390014.85,181454.15,208560.70,145612.80,88197.12,57456.64,267.84%,124.61%,61.00%,8.46:1,2.30:1
emclus0013c03_aggr0_root,348.60,257.53,91.07,368.40,350.60,17.85,94.63%,69.90%,95.00%,1.00:1,1.00:1
emclus0013c04_aggr2_val,488331.30,234604.10,253727.20,288358.40,145715.20,142643.20,169.35%,81.36%,51.00%,18.95:1,1.76:1
emclus0013c04_aggr1_val,439295.12,200083.29,239211.83,220876.80,119705.60,101201.92,198.89%,90.59%,54.00%,15.70:1,1.89:1
emclus0013c04_aggr0_root,348.60,205.80,142.80,368.40,350.60,17.85,94.63%,55.86%,95.00%,1.00:1,1.00:1
emclus0013n05_aggr1_cap,167295.12,54879.58,112415.54,380620.80,57047.04,323584.00,43.95%,14.42%,15.00%,22.42:1,1.19:1
emclus0013n05_aggr2_cap,125555.55,32973.44,92582.11,147046.40,33955.84,113152.00,85.38%,22.42%,23.00%,20.35:1,1.31:1
emclus0013n05_aggr0_root,7362.56,460.80,6901.76,7782.40,7403.52,377.30,94.61%,5.92%,95.00%,1.00:1,1.00:1
emclus0013n06_aggr1_cap,172221.40,15543.30,156678.10,380620.80,17530.88,363110.40,45.25%,4.08%,5.00%,26.99:1,1.45:1
emclus0013n06_aggr2_cap,115449.60,10787.71,104661.89,147046.40,11878.40,135168.00,78.51%,7.34%,8.00%,25.01:1,1.64:1
emclus0013n06_aggr0_root,7362.56,440.32,6922.24,7782.40,7403.52,377.40,94.61%,5.66%,95.00%,1.00:1,1.00:1
emclus0013n07_aggr2_cap,164152.96,37590.27,126562.69,129740.80,38481.92,91279.36,126.52%,28.97%,30.00%,26.38:1,1.43:1
emclus0013n07_aggr1_cap,284806.25,71359.54,213446.71,259481.60,73584.64,185958.40,109.76%,27.50%,28.00%,19.87:1,1.17:1
emclus0013n07_aggr0_root,7362.56,450.56,6912.00,7782.40,7403.52,377.40,94.61%,5.79%,95.00%,1.00:1,1.00:1
emclus0013n08_aggr1_cap,105.00,0.00,105.00,259481.60,69.55,259481.60,0.04%,0.00%,0.00%,1.00:1,1.00:1
emclus0013n08_aggr0_root,7362.56,471.04,6891.52,7782.40,7403.52,377.40,94.61%,6.05%,95.00%,1.00:1,1.00:1
Total Aggregates,23,,,,,,,,,,
