Aggregate,Total Allocated (GB),Total Used (GB),Total Available (GB),% Allocated,% Used
emclus0013c01_aggr0_root,368.40,350.55,17.85,95.15%,95.15%
emclus0013c01_aggr1_val,292249.60,158822.40,133427.20,54.34%,54.34%
emclus0013c01_aggr2_val,74301.44,54968.32,19333.12,73.98%,73.98%
emclus0013c02_aggr0_root,368.40,350.55,17.85,95.15%,95.15%
emclus0013c02_aggr1_val,292249.60,163840.00,128409.60,56.06%,56.06%
emclus0013c02_aggr2_val,74301.44,41748.48,32552.96,56.19%,56.19%
emclus0013c03_aggr0_root,368.40,350.55,17.85,95.15%,95.15%
emclus0013c03_aggr1_val,220876.80,150712.32,70164.48,68.23%,68.23%
emclus0013c03_aggr2_val,145612.80,88033.28,57579.52,60.46%,60.46%
emclus0013c04_aggr0_root,368.40,350.55,17.85,95.15%,95.15%
emclus0013c04_aggr1_val,220876.80,119603.20,101273.60,54.15%,54.15%
emclus0013c04_aggr2_val,288358.40,145100.80,143257.60,50.32%,50.32%
emclus0013n05_aggr0_root,7782.40,7405.10,377.30,95.15%,95.15%
emclus0013n05_aggr1_cap,380620.80,58060.80,322560.00,15.25%,15.25%
emclus0013n05_aggr2_cap,147046.40,33996.80,113049.60,23.12%,23.12%
emclus0013n06_aggr0_root,7782.40,7405.00,377.40,95.15%,95.15%
emclus0013n06_aggr1_cap,380620.80,18124.80,362496.00,4.76%,4.76%
emclus0013n06_aggr2_cap,147046.40,12083.20,134963.20,8.22%,8.22%
emclus0013n07_aggr0_root,7782.40,7405.00,377.40,95.15%,95.15%
emclus0013n07_aggr1_cap,259481.60,70860.80,188620.80,27.31%,27.31%
emclus0013n07_aggr2_cap,129740.80,38133.76,91607.04,29.39%,29.39%
emclus0013n08_aggr0_root,7782.40,7405.00,377.40,95.15%,95.15%
emclus0013n08_aggr1_cap,259481.60,0.00,259481.60,0.00%,0.00%
emclus0013n08_aggr2_cap,129740.80,0.00,129740.80,0.00%,0.00%
Total Aggregates,24,,,,
